127.0.0.1 - - [18/Apr/2021:14:50:23 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:24 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:24 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:24 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:24 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:50:41 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:13 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:13 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:13 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:13 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:13 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:18 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:18 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:18 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:18 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:19 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:28 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:28 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:28 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:28 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:51:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:14:52:22 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 5301
