127.0.0.1 - - [01/May/2021:15:48:52 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/May/2021:15:48:53 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 500 2673
0:0:0:0:0:0:0:1 - - [01/May/2021:15:48:54 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:11 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10211
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/header/v1/css/style.css HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/footer/css/style.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/css/style.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:12 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:40 -0300] "GET /CapRat/www/common/user/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 10217
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:40 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:49:40 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:34 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/bg.jpg HTTP/1.1" 200 325158
0:0:0:0:0:0:0:1 - - [01/May/2021:15:53:57 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
